Date,Open,High,Low,Close,Adj Close,Volume
2008-01-08,4.493700,4.535230,4.427250,4.446630,3.495322,157856769
2008-01-09,4.468780,4.576770,4.427250,4.479860,3.521444,227323127
2008-01-10,4.515850,4.549080,4.449400,4.485400,3.525799,147926599
2008-01-11,4.535230,4.687520,4.518620,4.643220,3.649854,177585225
2008-01-14,4.596150,4.798270,4.582300,4.795500,3.769556,133894614
2008-01-15,4.792730,4.870250,4.590610,4.637680,3.645500,233745060
2008-01-16,4.596150,4.756740,4.529700,4.673670,3.673790,213300396
2008-01-17,4.706900,4.762270,4.596150,4.601680,3.617201,173676902
2008-01-18,4.604450,4.643220,4.424480,4.471550,3.514911,225540400
2008-01-21,4.418950,4.568460,4.324810,4.344190,3.414799,203155523
2008-01-22,4.130990,4.499240,4.103310,4.460480,3.506210,258976760
2008-01-23,4.114380,4.551850,3.917800,3.951020,3.105743,352353025
2008-01-24,4.070080,4.352500,3.975940,4.092230,3.216743,377473943
2008-01-25,4.252820,4.288810,4.153140,4.186370,3.290742,202257610
2008-01-28,4.117150,4.338650,4.111610,4.324810,3.399565,241612410
2008-01-29,4.385720,4.510320,4.366340,4.460480,3.506210,224415479
2008-01-30,4.402330,4.446630,4.330350,4.338650,3.410444,164583293
2008-01-31,4.346960,4.388490,4.227900,4.322040,3.397388,178130226
2008-02-01,4.394030,4.435560,4.333110,4.369110,3.434388,156654514
2008-02-04,4.413410,4.443860,4.366340,4.388490,3.449622,129424481
2008-02-05,4.335880,4.335880,4.081160,4.089460,3.214565,196076373
2008-02-06,4.050700,4.186370,4.023010,4.161450,3.271154,284233185
2008-02-07,4.114380,4.128230,3.937180,3.975940,3.125332,234740757
2008-02-08,4.028550,4.053470,3.870730,3.887340,3.055687,182862270
2008-02-11,3.804280,3.906720,3.776590,3.793210,2.981695,218793365
2008-02-12,3.867960,4.014710,3.837510,4.014710,3.155807,184020199
2008-02-13,3.926110,4.142070,3.920570,4.111610,3.231977,229596023
2008-02-14,4.158680,4.191910,3.967640,3.973180,3.123163,242009317
2008-02-15,3.945490,4.125460,3.892880,4.014710,3.155807,228975161
2008-02-18,4.028550,4.089460,3.959330,4.011940,3.153630,124949198
2008-02-19,3.987020,4.183600,3.970410,4.122690,3.240686,203610947
2008-02-20,4.061780,4.164220,4.047930,4.106080,3.227630,170779800
2008-02-21,4.128230,4.133760,4.017480,4.056240,3.188452,183912906
2008-02-22,4.003630,4.009170,3.829200,3.851350,3.027396,174344965
2008-02-25,3.962100,3.962100,3.837510,3.851350,3.027396,168275793
2008-02-26,3.884570,4.039630,3.859660,4.039630,3.175396,212339899
2008-02-27,4.059010,4.117150,3.942720,4.111610,3.231977,231177675
2008-02-28,4.072850,4.139300,3.920570,3.937180,3.094864,204592504
2008-02-29,3.903960,4.009170,3.865190,3.895650,3.062219,252550540
2008-03-03,3.812590,3.890110,3.771060,3.876270,3.046985,183160707
2008-03-04,3.884570,3.887340,3.596620,3.621540,2.846752,316264409
2008-03-05,3.671380,3.776590,3.627080,3.754440,2.951219,221998692
2008-03-06,3.735060,3.735060,3.616000,3.635390,2.857639,223249406
2008-03-07,3.571700,3.591090,3.444340,3.530170,2.774929,253957518
2008-03-10,3.513560,3.532940,3.361280,3.400040,2.672639,228614364
2008-03-11,3.413880,3.521870,3.369580,3.485870,2.740107,262195128
2008-03-12,3.566170,3.568940,3.485870,3.496950,2.748816,175549319
2008-03-13,3.424960,3.433270,3.305900,3.416650,2.685696,187551592
2008-03-14,3.444340,3.602160,3.380660,3.494180,2.746639,297230346
2008-03-17,3.352970,3.430500,3.319750,3.352970,2.635639,216077813
2008-03-18,3.430500,3.588320,3.394500,3.568940,2.805405,212050260
2008-03-19,3.616000,3.663070,3.513560,3.593850,2.824986,262061028
2008-03-20,3.568940,3.712910,3.516330,3.649230,2.868518,213014695
2008-03-25,3.807050,3.807050,3.743370,3.793210,2.981695,139884878
2008-03-26,3.782130,3.812590,3.701840,3.757210,2.953397,130983950
2008-03-27,3.721220,3.873500,3.718450,3.807050,2.992574,177834441
2008-03-28,3.856890,3.951020,3.812590,3.942720,3.099218,176410877
2008-03-31,3.895650,4.097770,3.879040,4.056240,3.188452,241493697
2008-04-01,4.061780,4.122690,3.959330,4.039630,3.175396,185129788
2008-04-02,3.992560,4.103310,3.964870,4.072850,3.201509,149844589
2008-04-03,4.139300,4.194680,4.061780,4.119920,3.238508,251672754
2008-04-04,4.139300,4.158680,4.020240,4.070080,3.199331,145646707
2008-04-07,4.139300,4.191910,4.128230,4.172530,3.279863,191485450
2008-04-08,4.153140,4.169760,4.095000,4.161450,3.271154,137600110
2008-04-09,4.139300,4.250050,4.117150,4.202980,3.303799,246549033
2008-04-10,4.214060,4.238980,4.003630,4.108840,3.229799,346324658
2008-04-11,4.153140,4.208520,4.042390,4.075620,3.203686,292519499
2008-04-14,4.006400,4.045160,3.964870,3.964870,3.116630,195421695
2008-04-15,3.945490,3.978710,3.746140,3.768290,2.962106,327985137
2008-04-16,3.815360,3.887340,3.732290,3.865190,3.038275,163410592
2008-04-17,3.881810,3.906720,3.823660,3.862420,3.036098,175558320
2008-04-18,3.892880,3.928870,3.718450,3.890110,3.057864,192821208
2008-04-21,3.787670,3.829200,3.721220,3.765520,3.299165,113161035
2008-04-22,3.726760,3.784900,3.674150,3.679690,3.223965,238496174
2008-04-23,3.699070,3.765520,3.610470,3.746140,3.282185,175874793
2008-04-24,3.754440,3.945490,3.657540,3.898420,3.415605,569792949
2008-04-25,3.953790,4.089460,3.937180,4.067310,3.563579,0
2008-04-28,4.095000,4.117150,3.998090,4.028550,3.529619,132845525
2008-04-29,3.984250,4.050700,3.959330,4.036860,3.536900,116049592
